,0,1,2,3,4,5,6,7,8,9
0,0.592,0.552,0.392,0.204,0.372,0.792,0.506,0.563,0.67,0.653
1,0.697,0.644,0.53,0.381,0.559,0.524,0.665,0.669,0.833,0.691
2,0.646,0.685,0.429,0.471,0.455,0.632,0.874,0.642,0.807,0.821
3,0.744,0.773,0.513,0.359,0.693,0.605,0.814,0.692,0.849,0.792
4,0.799,0.764,0.442,0.419,0.661,0.59,0.856,0.721,0.795,0.806
5,0.754,0.798,0.637,0.467,0.561,0.557,0.823,0.691,0.814,0.837
6,0.753,0.755,0.456,0.433,0.771,0.658,0.716,0.71,0.799,0.839
7,0.581,0.747,0.475,0.455,0.671,0.686,0.796,0.783,0.792,0.826
8,0.729,0.795,0.536,0.481,0.684,0.651,0.748,0.608,0.829,0.773
9,0.772,0.848,0.581,0.47,0.648,0.647,0.775,0.749,0.8,0.704
10,0.736,0.754,0.497,0.558,0.595,0.597,0.765,0.698,0.847,0.817
11,0.766,0.8,0.582,0.398,0.64,0.684,0.722,0.692,0.851,0.784
12,0.761,0.836,0.591,0.578,0.591,0.587,0.758,0.712,0.715,0.71
13,0.753,0.862,0.589,0.468,0.67,0.596,0.726,0.746,0.814,0.706
14,0.755,0.827,0.531,0.499,0.653,0.652,0.79,0.723,0.797,0.753
15,0.807,0.783,0.59,0.51,0.581,0.616,0.769,0.691,0.718,0.754
16,0.738,0.75,0.503,0.344,0.643,0.566,0.922,0.67,0.742,0.755
17,0.741,0.802,0.538,0.392,0.657,0.656,0.791,0.783,0.808,0.764
18,0.776,0.836,0.548,0.416,0.675,0.628,0.78,0.744,0.795,0.784
19,0.768,0.809,0.577,0.422,0.607,0.655,0.792,0.732,0.777,0.771
20,0.661,0.817,0.529,0.484,0.767,0.603,0.756,0.724,0.793,0.768
21,0.722,0.759,0.602,0.531,0.567,0.61,0.807,0.676,0.786,0.766
22,0.699,0.784,0.545,0.478,0.652,0.51,0.757,0.771,0.822,0.842
23,0.785,0.797,0.56,0.485,0.659,0.615,0.742,0.716,0.72,0.689
24,0.72,0.789,0.509,0.465,0.636,0.628,0.711,0.768,0.825,0.79
25,0.7,0.746,0.485,0.464,0.644,0.646,0.801,0.768,0.757,0.815
26,0.828,0.824,0.471,0.516,0.652,0.659,0.717,0.739,0.747,0.728
27,0.747,0.842,0.503,0.531,0.681,0.615,0.757,0.746,0.788,0.736
28,0.751,0.815,0.577,0.427,0.665,0.607,0.813,0.719,0.731,0.827
29,0.733,0.836,0.553,0.535,0.662,0.49,0.819,0.757,0.826,0.764
30,0.799,0.792,0.474,0.566,0.605,0.442,0.781,0.775,0.802,0.805
31,0.768,0.728,0.532,0.454,0.656,0.588,0.788,0.777,0.87,0.792
32,0.794,0.793,0.567,0.458,0.629,0.545,0.828,0.756,0.782,0.822
33,0.773,0.79,0.603,0.412,0.652,0.605,0.826,0.745,0.814,0.819
34,0.733,0.739,0.528,0.409,0.639,0.649,0.78,0.773,0.81,0.773
35,0.744,0.77,0.528,0.513,0.592,0.628,0.806,0.74,0.763,0.815
36,0.755,0.777,0.571,0.493,0.676,0.487,0.848,0.722,0.788,0.762
37,0.805,0.819,0.509,0.502,0.64,0.64,0.836,0.68,0.768,0.743
38,0.695,0.831,0.539,0.492,0.688,0.596,0.792,0.738,0.839,0.716
39,0.797,0.788,0.573,0.55,0.591,0.566,0.783,0.719,0.829,0.742
40,0.766,0.832,0.526,0.538,0.533,0.609,0.786,0.739,0.777,0.814
41,0.692,0.805,0.57,0.431,0.717,0.566,0.767,0.785,0.787,0.785
42,0.785,0.768,0.553,0.552,0.623,0.564,0.704,0.715,0.816,0.794
43,0.816,0.772,0.51,0.515,0.67,0.602,0.815,0.697,0.805,0.77
44,0.796,0.82,0.59,0.4,0.676,0.593,0.792,0.704,0.806,0.796
45,0.766,0.779,0.452,0.478,0.589,0.665,0.741,0.79,0.808,0.796
46,0.78,0.809,0.545,0.548,0.597,0.6,0.792,0.774,0.8,0.762
47,0.741,0.83,0.621,0.58,0.508,0.583,0.706,0.696,0.787,0.773
48,0.776,0.797,0.615,0.413,0.705,0.621,0.742,0.693,0.808,0.819
49,0.696,0.874,0.551,0.519,0.681,0.583,0.746,0.715,0.835,0.762
