,0,1,2,3,4,5,6,7,8,9
0,0.535,0.647,0.287,0.201,0.56,0.589,0.314,0.783,0.57,0.715
1,0.659,0.727,0.334,0.531,0.655,0.413,0.716,0.714,0.773,0.793
2,0.579,0.727,0.588,0.42,0.649,0.546,0.834,0.637,0.755,0.774
3,0.656,0.735,0.654,0.44,0.599,0.521,0.775,0.73,0.801,0.826
4,0.639,0.74,0.473,0.416,0.679,0.532,0.843,0.738,0.82,0.833
5,0.732,0.788,0.555,0.425,0.717,0.551,0.802,0.783,0.758,0.725
6,0.73,0.816,0.528,0.483,0.658,0.536,0.862,0.693,0.725,0.728
7,0.72,0.887,0.612,0.541,0.631,0.544,0.713,0.662,0.784,0.694
8,0.71,0.823,0.524,0.434,0.655,0.676,0.756,0.666,0.833,0.754
9,0.765,0.78,0.508,0.453,0.655,0.592,0.766,0.785,0.756,0.806
10,0.741,0.778,0.603,0.407,0.626,0.571,0.828,0.672,0.792,0.764
11,0.708,0.741,0.583,0.445,0.664,0.637,0.663,0.693,0.828,0.772
12,0.737,0.82,0.56,0.467,0.574,0.622,0.748,0.714,0.746,0.765
13,0.699,0.804,0.586,0.472,0.732,0.56,0.654,0.725,0.752,0.734
14,0.719,0.784,0.521,0.545,0.565,0.615,0.773,0.771,0.752,0.755
15,0.697,0.803,0.569,0.38,0.688,0.575,0.755,0.769,0.775,0.697
16,0.649,0.715,0.614,0.438,0.665,0.487,0.829,0.67,0.805,0.779
17,0.719,0.828,0.567,0.421,0.655,0.597,0.675,0.7,0.83,0.713
18,0.684,0.738,0.509,0.48,0.613,0.594,0.792,0.708,0.776,0.777
19,0.718,0.806,0.526,0.396,0.703,0.464,0.855,0.735,0.771,0.728
20,0.683,0.811,0.529,0.485,0.599,0.703,0.741,0.643,0.726,0.74
21,0.715,0.762,0.514,0.463,0.635,0.613,0.727,0.674,0.832,0.79
22,0.7,0.738,0.555,0.456,0.538,0.619,0.683,0.734,0.759,0.855
23,0.715,0.861,0.595,0.335,0.648,0.587,0.79,0.637,0.794,0.674
24,0.798,0.753,0.612,0.403,0.574,0.609,0.798,0.725,0.76,0.721
25,0.679,0.709,0.554,0.458,0.539,0.6,0.807,0.735,0.812,0.807
26,0.723,0.781,0.583,0.441,0.618,0.576,0.824,0.725,0.737,0.74
27,0.724,0.733,0.534,0.425,0.647,0.536,0.825,0.749,0.762,0.799
28,0.714,0.728,0.582,0.455,0.662,0.606,0.752,0.731,0.757,0.804
29,0.761,0.82,0.592,0.45,0.639,0.579,0.766,0.653,0.77,0.733
30,0.749,0.818,0.518,0.551,0.675,0.575,0.724,0.673,0.754,0.74
31,0.679,0.778,0.598,0.483,0.697,0.598,0.75,0.669,0.78,0.71
32,0.73,0.804,0.46,0.428,0.681,0.61,0.801,0.725,0.769,0.761
33,0.67,0.737,0.468,0.423,0.701,0.598,0.821,0.717,0.752,0.846
34,0.764,0.761,0.486,0.442,0.722,0.626,0.811,0.678,0.718,0.697
35,0.676,0.784,0.611,0.491,0.597,0.568,0.742,0.702,0.822,0.773
36,0.645,0.743,0.585,0.5,0.632,0.551,0.748,0.748,0.816,0.785
37,0.7,0.77,0.478,0.488,0.698,0.513,0.789,0.746,0.817,0.779
38,0.712,0.786,0.53,0.468,0.688,0.543,0.758,0.717,0.812,0.797
39,0.743,0.784,0.564,0.388,0.631,0.636,0.784,0.735,0.779,0.786
40,0.733,0.83,0.548,0.419,0.584,0.657,0.76,0.704,0.785,0.717
41,0.741,0.786,0.596,0.496,0.604,0.518,0.782,0.699,0.81,0.758
42,0.676,0.823,0.593,0.512,0.639,0.555,0.729,0.697,0.763,0.757
43,0.74,0.787,0.54,0.509,0.63,0.534,0.744,0.737,0.802,0.786
44,0.63,0.757,0.472,0.519,0.642,0.592,0.758,0.753,0.768,0.815
45,0.7,0.723,0.531,0.471,0.635,0.592,0.756,0.721,0.805,0.852
46,0.762,0.813,0.543,0.454,0.609,0.544,0.787,0.713,0.79,0.791
47,0.657,0.778,0.548,0.455,0.677,0.644,0.802,0.703,0.752,0.72
48,0.733,0.744,0.578,0.422,0.617,0.59,0.796,0.701,0.823,0.779
49,0.697,0.776,0.587,0.517,0.62,0.546,0.742,0.688,0.829,0.739
