,0,1,2,3,4,5,6,7,8,9
0,0.0,0.003,0.0,0.404,0.0,0.0,0.0,0.0,0.998,0.005
1,0.031,0.196,0.0,0.0,0.0,1.0,0.003,0.007,0.093,0.033
2,0.994,0.068,0.0,0.614,0.007,0.0,0.015,0.121,0.016,0.081
3,0.102,0.285,0.211,0.997,0.0,0.0,0.017,0.102,0.304,0.152
4,0.205,0.385,0.323,0.0,0.008,0.997,0.126,0.07,0.432,0.345
5,0.324,0.5,0.446,0.981,0.039,0.003,0.126,0.339,0.427,0.499
6,0.321,0.682,0.11,0.969,0.607,0.016,0.2,0.324,0.528,0.667
7,0.365,0.728,0.136,0.467,0.979,0.047,0.342,0.295,0.631,0.728
8,0.3,0.666,0.95,0.57,0.109,0.044,0.36,0.391,0.605,0.649
9,0.485,0.38,0.331,0.845,0.247,0.114,0.456,0.557,0.577,0.965
10,0.637,0.809,0.296,0.401,0.286,0.894,0.535,0.502,0.743,0.678
11,0.462,0.656,0.931,0.539,0.229,0.17,0.443,0.516,0.614,0.728
12,0.572,0.739,0.6,0.927,0.267,0.164,0.476,0.555,0.728,0.766
13,0.5,0.717,0.896,0.601,0.338,0.182,0.568,0.523,0.727,0.748
14,0.676,0.783,0.397,0.857,0.463,0.426,0.555,0.597,0.728,0.655
15,0.582,0.716,0.837,0.714,0.38,0.26,0.571,0.551,0.718,0.737
16,0.511,0.768,0.887,0.608,0.341,0.237,0.584,0.543,0.724,0.728
17,0.717,0.814,0.401,0.515,0.45,0.825,0.618,0.576,0.802,0.71
18,0.606,0.762,0.843,0.667,0.475,0.268,0.523,0.57,0.759,0.695
19,0.567,0.707,0.869,0.574,0.391,0.311,0.604,0.619,0.81,0.767
20,0.63,0.692,0.39,0.653,0.875,0.318,0.477,0.574,0.755,0.79
21,0.69,0.777,0.451,0.787,0.448,0.522,0.629,0.644,0.743,0.785
22,0.584,0.795,0.843,0.647,0.358,0.38,0.513,0.579,0.761,0.715
23,0.655,0.771,0.845,0.617,0.428,0.366,0.633,0.607,0.756,0.73
24,0.721,0.832,0.49,0.513,0.486,0.808,0.616,0.639,0.769,0.784
25,0.646,0.739,0.824,0.573,0.445,0.412,0.575,0.659,0.728,0.717
26,0.666,0.74,0.835,0.585,0.403,0.301,0.653,0.611,0.729,0.775
27,0.684,0.752,0.522,0.457,0.471,0.815,0.626,0.625,0.791,0.725
28,0.567,0.751,0.837,0.641,0.41,0.325,0.591,0.666,0.732,0.775
29,0.641,0.747,0.498,0.638,0.585,0.424,0.894,0.659,0.807,0.731
30,0.804,0.812,0.473,0.449,0.522,0.78,0.67,0.703,0.792,0.717
31,0.763,0.794,0.546,0.463,0.526,0.769,0.686,0.693,0.775,0.766
32,0.646,0.753,0.651,0.823,0.467,0.306,0.62,0.608,0.665,0.766
33,0.678,0.793,0.626,0.774,0.525,0.417,0.655,0.691,0.783,0.792
34,0.692,0.749,0.793,0.66,0.45,0.367,0.668,0.622,0.726,0.687
35,0.699,0.821,0.842,0.6,0.358,0.397,0.598,0.672,0.677,0.716
36,0.627,0.772,0.839,0.648,0.424,0.385,0.617,0.649,0.686,0.711
37,0.712,0.78,0.489,0.496,0.535,0.829,0.6,0.649,0.751,0.701
38,0.761,0.793,0.662,0.734,0.505,0.447,0.675,0.673,0.7,0.749
39,0.698,0.798,0.787,0.611,0.521,0.408,0.656,0.686,0.739,0.733
40,0.688,0.8,0.475,0.499,0.578,0.78,0.666,0.639,0.822,0.718
41,0.755,0.752,0.552,0.539,0.545,0.733,0.659,0.648,0.798,0.753
42,0.728,0.814,0.49,0.487,0.544,0.771,0.639,0.681,0.76,0.776
43,0.736,0.761,0.562,0.532,0.488,0.741,0.721,0.66,0.775,0.739
44,0.685,0.793,0.78,0.581,0.531,0.427,0.655,0.685,0.831,0.732
45,0.715,0.82,0.782,0.594,0.463,0.428,0.66,0.731,0.792,0.765
46,0.716,0.886,0.483,0.615,0.814,0.431,0.688,0.683,0.768,0.655
47,0.714,0.759,0.751,0.625,0.531,0.449,0.734,0.685,0.767,0.78
48,0.692,0.811,0.772,0.572,0.522,0.423,0.727,0.685,0.751,0.715
49,0.698,0.796,0.454,0.464,0.527,0.814,0.607,0.715,0.776,0.795
